Place,place_of_birth,ghetto,camps,Latitude,Longitude,total_freq,place_type
 Wöbbelin,0.0,0.0,0.0,53.4000924,11.5017107,0.0,place_of_birth
 Zwodau,0.0,0.0,0.0,50.192255,12.6250425,0.0,place_of_birth
 Markleberg,0.0,0.0,0.0,51.2785751,12.3718819,0.0,place_of_birth
 Radebeul,0.0,0.0,0.0,51.0999765,13.6767995,0.0,place_of_birth
 Argenau,0.0,0.0,0.0,52.894429,18.4066817,0.0,place_of_birth
 Torn,0.0,0.0,0.0,53.0145361,18.59658314465156,0.0,place_of_birth
 Wurzen,0.0,0.0,0.0,51.37138245,12.748182292058097,0.0,place_of_birth
 Plőn,0.0,0.0,0.0,54.24611515,10.413274327272728,0.0,place_of_birth
 Lorenzkirche,0.0,0.0,0.0,49.4509469,11.0777299,0.0,place_of_birth
 Germendorf,0.0,0.0,0.0,52.74617185,13.167708793066906,0.0,place_of_birth
 Lautlingen,0.0,0.0,0.0,48.2155175,8.9595871,0.0,place_of_birth
 Hersbruck,0.0,0.0,0.0,49.5085843,11.4285065,0.0,place_of_birth
 Siegendorf,0.0,0.0,0.0,47.7803088,16.5414018,0.0,place_of_birth
 Aschersleben,0.0,0.0,0.0,51.7559549,11.462134,0.0,place_of_birth
 Berga am Elster,0.0,0.0,0.0,50.7524427,12.163341109608908,0.0,place_of_birth
 Seefeld,0.0,0.0,0.0,47.3289241,11.1867187,0.0,place_of_birth
 Ludwigslust,0.0,0.0,0.0,53.3300229,11.4993644,0.0,place_of_birth
 Rehmsdorf,0.0,0.0,0.0,51.0596768,12.2161979,0.0,place_of_birth
 Thorne,0.0,0.0,0.0,45.7457775,-76.426058501174,0.0,place_of_birth
 Krone,0.0,0.0,0.0,46.8756268,10.2319967,0.0,place_of_birth
 Posta,0.0,0.0,0.0,42.5235514,13.0960137,0.0,place_of_birth
 Westfalica,0.0,0.0,0.0,58.8364277,57.5555018,0.0,place_of_birth
